"attr_time","attr_x","attr_y","attr_z"
"1518483750432","-0.054205","0.0921202","0.388968"
"1518483750452","0.0140986","0.0507116","0.263289"
"1518483750491","0.0955573","0.00992298","-0.059443"
"1518483750508","-0.178305","-0.0437775","-0.0283999"
"1518483750525","-0.111997","0.0301018","0.0462351"
"1518483750541","-0.133652","-0.157884","-0.060698"
"1518483750558","-0.139484","-0.0554361","-0.21137"
"1518483750590","0.0837856","-0.0194492","0.0109539"
"1518483750608","0.00573504","-0.0193901","0.150504"
"1518483750623","-0.104591","-0.0116816","0.0820951"
"1518483750641","-0.0702648","-0.0189228","0.0369449"
"1518483750658","-0.0657889","-0.0132227","-0.047061"
"1518483750693","-0.0756161","-0.060379","-0.0165792"
"1518483750693","-0.0394233","-0.0655422","0.0901689"
"1518483750724","0.0163469","0.00885963","0.0836277"
"1518483750740","-0.0194846","-0.00823593","0.0898871"
"1518483750757","-0.132428","-0.0142508","0.0527554"
"1518483750784","-0.123181","-0.0554552","0.0900898"
"1518483750805","0.0489422","-0.0137177","0.127619"
"1518483750814","0.00850701","-0.0282125","0.0446324"
"1518483750835","0.0757608","0.0272312","-0.0351644"
"1518483750851","0.00123054","0.0160389","-0.0377083"
"1518483750873","-0.0258314","0.0262384","-0.0684753"
"1518483750895","-0.0570581","-0.05371","0.000767231"
"1518483750912","0.0175623","-0.0525455","0.0619073"
"1518483750934","-0.0280893","-0.0209675","0.0725107"
"1518483750953","-0.00140184","0.0387735","0.0541778"
"1518483750972","0.0525103","-0.00537395","0.0452576"
"1518483750994","-0.0403548","0.0282631","0.0783448"
"1518483751013","0.0558254","0.0168638","-0.195906"
"1518483751033","-0.0377027","-0.0171556","-0.022645"
"1518483751062","0.0809322","-0.0424557","-0.0717478"
"1518483751080","-0.0712491","0.0120058","-0.0095129"
"1518483751093","0.00812501","0.0364208","-0.0344262"
"1518483751114","0.00075376","0.0425444","-0.00647116"
"1518483751132","0.059981","0.0129662","-0.0128388"
"1518483751152","0.0020147","0.0199499","-0.0888033"
"1518483751178","-0.0501046","0.00638294","-0.0806198"
"1518483751193","-0.0439145","0.0127678","0.0331907"
"1518483751212","0.0376543","-0.00893974","-0.00984049"
"1518483751231","0.0301235","-0.0148134","0.0285206"
"1518483751252","0.0145217","0.0130501","0.0170703"
"1518483751277","0.0652491","0.0410862","0.0596261"
"1518483751294","0.0196372","0.0328693","-0.0806322"
"1518483751312","0.0482719","0.0186329","-0.144953"
"1518483751331","0.0213787","0.00724506","-0.0412612"
"1518483751351","-0.00396669","-0.017189","0.00913048"
"1518483751374","-0.0261584","0.00348759","0.0666823"
"1518483751392","0.0499439","0.0181141","0.0380225"
"1518483751413","0.0457013","0.016407","0.00551701"
"1518483751432","-0.00940901","0.0131254","-0.0568795"
"1518483751451","0.00396538","-0.0144005","-0.112543"
"1518483751476","0.0280728","0.0229578","-0.147497"
"1518483751494","0.0282045","-0.0429277","-0.127575"
"1518483751512","-0.094277","0.000135422","0.0990591"
"1518483751531","-0.0217899","0.0116014","0.24972"
"1518483751559","0.0553541","0.0246048","0.144228"
"1518483751575","0.0232137","-0.00138664","0.0598359"
"1518483751593","0.0683718","0.00846767","-0.0249171"
"1518483751613","0.00298113","0.0182667","-0.13869"
"1518483751631","-0.0646548","-0.00454044","-0.139683"
"1518483751657","-0.0134154","0.00594521","0.0127554"
"1518483751676","-0.0107323","-0.0737762","0.0753284"
"1518483751692","0.0143992","-0.0187979","0.0238695"
"1518483751712","-0.0746744","0.0309324","0.0325036"
"1518483751732","-0.000361502","0.0400696","0.211799"
"1518483751757","-0.000289142","-0.01583","-0.012526"
"1518483751775","0.0438234","-0.0126638","-0.0942993"
"1518483751796","0.050382","-0.0177927","-0.138649"
"1518483751820","0.00199723","0.0125818","-0.0764413"
"1518483751848","-0.00797939","-0.0129194","0.0576034"
"1518483751857","0.0472482","-0.0026741","0.0307593"
"1518483751874","0.0301369","-0.0232086","-0.00987005"
"1518483751892","0.0470946","0.021657","0.0189195"
"1518483751913","0.0223523","-0.0171518","0.0476975"
"1518483751932","-0.0338345","0.011179","0.0285811"
"1518483751958","0.0208179","-0.010211","-0.0671597"
"1518483751974","0.00324637","0.0378017","-0.115021"
"1518483751994","-0.029965","-0.0176439","-0.0268931"
"1518483752015","0.0545602","0.0222778","0.00721693"
"1518483752033","0.0053398","-0.00707912","0.0153508"
"1518483752058","-0.0187132","-0.00183296","0.0525045"
"1518483752077","0.0290841","0.000449181","0.149267"
"1518483752095","0.0385907","0.00419045","0.0562048"
"1518483752113","0.0212954","-0.0234633","0.0104861"
"1518483752133","0.015121","-0.0379248","-0.0241728"
"1518483752158","-0.00897282","0.0194616","-0.132348"
"1518483752176","-0.0110091","0.000246048","-0.0465002"
"1518483752195","0.0122624","0.0557432","0.031755"
"1518483752213","0.0864267","-0.0186138","0.186299"
"1518483752232","-0.00172913","0.00234795","0.0705071"
"1518483752257","-0.0569305","-0.0651617","0.0104356"
"1518483752275","-0.127907","-0.0578747","0.000686646"
"1518483752293","-0.0429479","-0.0558767","0.0867434"
