"id","attr_time","attr_azimuth","attr_pitch","attr_roll"
"164","1518810930790","291.983","-0.376136","0.843513"
"165","1518810930800","291.983","-0.375931","0.840333"
"166","1518810930813","291.983","-0.375793","0.836645"
"167","1518810930820","291.982","-0.375752","0.83261"
"168","1518810930831","291.983","-0.375713","0.828159"
"169","1518810930840","291.983","-0.375802","0.823519"
"170","1518810930851","291.983","-0.375512","0.818623"
"171","1518810930859","291.983","-0.375094","0.813916"
"172","1518810930870","291.983","-0.374385","0.809844"
"173","1518810930880","291.983","-0.373641","0.806439"
"174","1518810930889","291.983","-0.372385","0.803794"
"175","1518810930900","291.983","-0.371124","0.801975"
"176","1518810930917","291.983","-0.369286","0.801011"
"177","1518810930921","291.983","-0.367125","0.800935"
"178","1518810930932","291.983","-0.364929","0.801528"
"179","1518810930941","291.983","-0.362633","0.802882"
"180","1518810930952","291.983","-0.360778","0.804809"
"181","1518810930961","291.983","-0.35905","0.806961"
"182","1518810930972","291.983","-0.357417","0.809177"
"183","1518810930981","291.983","-0.355848","0.811298"
"184","1518810930993","291.983","-0.35425","0.812846"
"185","1518810931002","291.983","-0.352814","0.813951"
"186","1518810931012","291.983","-0.351764","0.814072"
"187","1518810931022","291.983","-0.350814","0.813431"
"188","1518810931033","291.983","-0.349869","0.811963"
"189","1518810931043","291.983","-0.34899","0.809988"
"190","1518810931054","291.983","-0.348146","0.807345"
"191","1518810931062","291.983","-0.347623","0.804227"
"192","1518810931072","291.983","-0.347198","0.80076"
"193","1518810931081","291.983","-0.34639","0.797451"
"194","1518810931093","291.983","-0.345392","0.794013"
"195","1518810931102","291.983","-0.344423","0.791146"
"196","1518810931114","291.983","-0.343736","0.788886"
"197","1518810931122","291.983","-0.343174","0.787262"
"198","1518810931133","291.983","-0.342764","0.786433"
"199","1518810931142","291.983","-0.342765","0.786433"
"200","1518810931153","291.983","-0.342347","0.787257"
"201","1518810931162","291.983","-0.342086","0.788463"
"202","1518810931173","291.983","-0.341886","0.789988"
"203","1518810931182","291.983","-0.341334","0.792242"
"204","1518810931192","291.983","-0.341035","0.794528"
"205","1518810931202","291.983","-0.340803","0.796307"
"206","1518810931213","291.983","-0.340732","0.797642"
"207","1518810931222","291.983","-0.340732","0.797642"
"208","1518810931234","291.983","-0.340732","0.797642"
"209","1518810931242","291.983","-0.340641","0.796751"
"210","1518810931252","291.983","-0.340427","0.795224"
"211","1518810931262","291.983","-0.339836","0.793028"
"212","1518810931273","291.983","-0.339151","0.790354"
"213","1518810931282","291.983","-0.338056","0.787265"
"214","1518810931293","291.983","-0.336869","0.783699"
"215","1518810931302","291.983","-0.335141","0.779907"
"216","1518810931313","291.983","-0.332844","0.77573"
"217","1518810931322","291.983","-0.33045","0.771903"
"218","1518810931333","291.983","-0.328146","0.768965"
"219","1518810931342","291.983","-0.326442","0.766986"
"220","1518810931353","291.983","-0.32524","0.765898"
"221","1518810931363","291.983","-0.324321","0.765416"
"222","1518810931372","291.983","-0.323844","0.765509"
"223","1518810931382","291.983","-0.323267","0.766364"
"224","1518810931393","291.983","-0.322944","0.767252"
"225","1518810931402","291.983","-0.322777","0.768522"
"226","1518810931414","291.983","-0.322801","0.769921"
"227","1518810931422","291.983","-0.322859","0.771065"
"228","1518810931433","291.983","-0.323077","0.771766"
"229","1518810931442","291.983","-0.323077","0.771766"
"230","1518810931453","291.983","-0.323462","0.771196"
"231","1518810931463","291.983","-0.323818","0.770054"
"232","1518810931473","291.983","-0.323986","0.76837"
"233","1518810931482","291.983","-0.323872","0.766081"
"234","1518810931493","291.983","-0.323187","0.763408"
"235","1518810931502","291.983","-0.321838","0.760286"
"236","1518810931513","291.983","-0.320173","0.756812"
"237","1518810931522","291.983","-0.318033","0.753017"
"238","1518810931533","291.983","-0.315543","0.749126"
"239","1518810931542","291.983","-0.31315","0.745298"
"240","1518810931552","291.983","-0.310879","0.742108"
"241","1518810931562","291.983","-0.309017","0.739746"
"242","1518810931573","291.983","-0.307658","0.738276"
"243","1518810931582","291.983","-0.306647","0.737317"
"244","1518810931593","291.983","-0.306013","0.737027"
"245","1518810931602","291.983","-0.306013","0.737027"
"246","1518810931612","291.983","-0.306013","0.737027"
"247","1518810931622","291.983","-0.306041","0.737599"
"248","1518810931633","291.983","-0.306101","0.738331"
"249","1518810931642","291.983","-0.306383","0.738936"
"250","1518810931653","291.983","-0.30673","0.739447"
"251","1518810931662","291.983","-0.30673","0.739447"
"252","1518810931672","291.983","-0.30673","0.739447"
"253","1518810931682","291.983","-0.307179","0.738782"
"254","1518810931693","291.983","-0.307406","0.737829"
"255","1518810931702","291.983","-0.307128","0.736398"
"256","1518810931713","291.983","-0.306568","0.73436"
"257","1518810931722","291.983","-0.305437","0.731938"
"258","1518810931732","291.983","-0.303736","0.729132"
"259","1518810931742","291.983","-0.301656","0.726069"
"260","1518810931753","291.983","-0.2991","0.722686"
"261","1518810931768","291.983","-0.296544","0.719303"
"262","1518810931774","291.983","-0.29421","0.716206"
"263","1518810931783","291.983","-0.292476","0.713654"
"264","1518810931792","291.983","-0.291312","0.711486"
"265","1518810931802","291.983","-0.290526","0.709988"
"266","1518810931813","291.983","-0.290055","0.708841"
"267","1518810931823","291.983","-0.290055","0.708841"
"268","1518810931831","291.983","-0.290055","0.708841"
"269","1518810931840","291.983","-0.290055","0.708841"
"270","1518810931849","291.983","-0.290055","0.708841"
"271","1518810931859","291.983","-0.290433","0.70951"
"272","1518810931869","291.983","-0.291001","0.710308"
"273","1518810931879","291.983","-0.291568","0.711106"
"274","1518810931890","291.983","-0.292233","0.711555"
"275","1518810931900","291.983","-0.292805","0.711526"
"276","1518810931910","291.983","-0.292805","0.711526"
"277","1518810931923","291.983","-0.292779","0.710541"
"278","1518810931932","291.983","-0.292342","0.70914"
"279","1518810931939","291.983","-0.29159","0.707388"
"280","1518810931950","291.983","-0.290934","0.705286"
"281","1518810931960","291.983","-0.290121","0.702803"
"282","1518810931970","291.983","-0.289404","0.700383"
"283","1518810931980","291.983","-0.288845","0.697933"
"284","1518810931989","291.983","-0.288348","0.695801"
"285","1518810931999","291.983","-0.288198","0.694179"
"286","1518810932013","291.983","-0.288079","0.692716"
"287","1518810932019","291.983","-0.288371","0.691669"
"288","1518810932030","291.983","-0.28863","0.690876"
"289","1518810932039","291.983","-0.28863","0.690876"
"290","1518810932050","291.983","-0.28863","0.690876"
"291","1518810932059","291.983","-0.289199","0.69126"
"292","1518810932070","291.983","-0.28999","0.691932"
"293","1518810932079","291.983","-0.290687","0.692539"
"294","1518810932089","291.983","-0.291572","0.693275"
"295","1518810932099","291.983","-0.292427","0.693852"
"296","1518810932111","291.983","-0.29322","0.694111"
"297","1518810932119","291.983","-0.294111","0.694021"
"298","1518810932130","291.983","-0.295003","0.693517"
"299","1518810932139","291.983","-0.295898","0.6926"
"300","1518810932149","291.983","-0.296542","0.691238"
"301","1518810932160","291.983","-0.296805","0.689618"
"302","1518810932170","291.983","-0.296689","0.687742"
"303","1518810932179","291.983","-0.296382","0.685738"
"304","1518810932191","291.983","-0.295885","0.683606"
"305","1518810932199","291.983","-0.29545","0.681792"
"306","1518810932212","291.984","-0.294759","0.680357"
"307","1518810932219","291.984","-0.294099","0.679082"
"308","1518810932229","291.984","-0.293754","0.678159"
"309","1518810932240","291.984","-0.293754","0.678159"
"310","1518810932250","291.984","-0.293754","0.678159"
"311","1518810932259","291.984","-0.293754","0.678159"
"312","1518810932268","291.984","-0.293973","0.678859"
"313","1518810932278","291.984","-0.294317","0.679783"
"314","1518810932289","291.984","-0.294821","0.680676"
"315","1518810932298","291.983","-0.295294","0.681409"
"316","1518810932312","291.983","-0.295925","0.682112"
"317","1518810932318","291.983","-0.296526","0.682656"
"318","1518810932329","291.983","-0.297096","0.68304"
"319","1518810932339","291.983","-0.297763","0.683076"
"320","1518810932349","291.983","-0.298559","0.682921"
"321","1518810932362","291.983","-0.299326","0.682195"
"322","1518810932371","291.983","-0.299648","0.681307"
"323","1518810932380","291.983","-0.299878","0.679941"
"324","1518810932391","291.983","-0.300332","0.67845"
"325","1518810932401","291.983","-0.30031","0.676638"
"326","1518810932411","291.983","-0.300001","0.675047"
"327","1518810932421","291.983","-0.299533","0.673487"
"328","1518810932431","291.984","-0.299096","0.672086"
"329","1518810932440","291.984","-0.298531","0.670875"
"330","1518810932450","291.984","-0.298091","0.669888"
"331","1518810932461","291.984","-0.297873","0.669187"
"332","1518810932470","291.984","-0.297873","0.669187"
"333","1518810932480","291.984","-0.297873","0.669187"
"334","1518810932491","291.984","-0.297873","0.669187"
"335","1518810932500","291.984","-0.297873","0.669187"
"336","1518810932510","291.984","-0.297873","0.669187"
"337","1518810932520","291.984","-0.297873","0.669187"
"338","1518810932531","291.984","-0.298478","0.668904"
"339","1518810932540","291.984","-0.299022","0.668304"
"340","1518810932553","291.984","-0.299663","0.667354"
"341","1518810932561","291.984","-0.300273","0.666245"
"342","1518810932571","291.984","-0.300883","0.665136"
"343","1518810932582","291.984","-0.30149","0.66444"
"344","1518810932593","291.984","-0.302034","0.663839"
"345","1518810932601","291.984","-0.302034","0.663839"
"346","1518810932613","291.984","-0.302034","0.663839"
"347","1518810932621","291.984","-0.302034","0.663839"
"348","1518810932631","291.984","-0.301586","0.664504"
"349","1518810932641","291.984","-0.301073","0.665264"
"350","1518810932652","291.984","-0.300591","0.666183"
"351","1518810932662","291.984","-0.300109","0.667102"
"352","1518810932672","291.984","-0.300109","0.667102"
"353","1518810932681","291.984","-0.300109","0.667102"
"354","1518810932691","291.984","-0.300109","0.667102"
"355","1518810932701","291.984","-0.300463","0.666373"
"356","1518810932712","291.984","-0.300755","0.665326"
"357","1518810932721","291.984","-0.301303","0.663898"
"358","1518810932732","291.984","-0.301789","0.662153"
"359","1518810932742","291.984","-0.302404","0.660217"
"360","1518810932751","291.984","-0.303018","0.658282"
"361","1518810932765","291.984","-0.303697","0.656252"
"362","1518810932772","291.984","-0.304119","0.654601"
"363","1518810932781","291.984","-0.304221","0.653426"
"364","1518810932794","291.984","-0.304067","0.652631"
"365","1518810932801","291.984","-0.303625","0.652056"
"366","1518810932811","291.983","-0.303022","0.651926"
"367","1518810932821","291.983","-0.302067","0.652111"
"368","1518810932833","291.984","-0.301079","0.652551"
"369","1518810932844","291.984","-0.300248","0.653372"
"370","1518810932864","291.983","-0.299638","0.654481"
"371","1518810932864","291.983","-0.299218","0.655719"
"372","1518810932890","291.983","-0.298991","0.656671"
"373","1518810932890","291.983","-0.298891","0.657433"
"374","1518810932942","291.983","-0.298891","0.657433"
"375","1518810932942","291.983","-0.298891","0.657433"
"376","1518810932942","291.983","-0.298891","0.657433"
"377","1518810932943","291.983","-0.299371","0.656927"
"378","1518810932943","291.983","-0.299947","0.656072"
"379","1518810932943","291.983","-0.300557","0.654963"
"380","1518810932972","291.983","-0.30117","0.653441"
"381","1518810932972","291.984","-0.301815","0.651665"
"382","1518810932972","291.983","-0.302366","0.649825"
"383","1518810932994","291.984","-0.302568","0.647887"
"384","1518810932994","291.984","-0.302831","0.646267"
"385","1518810933001","291.984","-0.302776","0.64471"
"386","1518810933015","291.984","-0.30256","0.643596"
"387","1518810933022","291.984","-0.302277","0.642991"
"388","1518810933035","291.984","-0.302277","0.642991"
"389","1518810933050","291.984","-0.301797","0.643497"
"390","1518810933052","291.984","-0.301316","0.644416"
"391","1518810933065","291.984","-0.300957","0.645971"
"392","1518810933071","291.984","-0.300948","0.647624"
"393","1518810933081","291.984","-0.301034","0.64934"
"394","1518810933094","291.984","-0.301342","0.650931"
"395","1518810933101","291.983","-0.301652","0.652522"
"396","1518810933111","291.983","-0.302122","0.653669"
"397","1518810933121","291.984","-0.302659","0.654307"
"398","1518810933132","291.984","-0.302659","0.654307"
"399","1518810933161","291.984","-0.302659","0.654307"
"400","1518810933161","291.984","-0.302659","0.654307"
"401","1518810933161","291.984","-0.302949","0.653673"
"402","1518810933179","291.984","-0.302858","0.652783"
"403","1518810933194","291.983","-0.302262","0.651413"
"404","1518810933195","291.984","-0.301476","0.649915"
"405","1518810933211","291.984","-0.300849","0.648386"
"406","1518810933226","291.984","-0.300188","0.647111"
"407","1518810933226","291.984","-0.299782","0.645869"
"408","1518810933242","291.984","-0.299627","0.645073"
"409","1518810933262","291.984","-0.299378","0.644214"
"410","1518810933263","291.984","-0.299378","0.644214"
"411","1518810933263","291.984","-0.299378","0.644214"
"412","1518810933295","291.984","-0.299378","0.644214"
"413","1518810933295","291.984","-0.299378","0.644214"
"414","1518810933295","291.984","-0.299378","0.644214"
"415","1518810933312","291.984","-0.299566","0.644755"
"416","1518810933312","291.984","-0.300007","0.64533"
"417","1518810933325","291.984","-0.300513","0.64581"
"418","1518810933331","291.984","-0.300988","0.64613"
"419","1518810933361","291.984","-0.301622","0.64642"
"420","1518810933361","291.984","-0.30229","0.646455"
"421","1518810933375","291.984","-0.30299","0.646237"
